iter	RMSE
0	3700.502152
1	3407.14327
2	3133.391367
3	2888.70749
4	2657.482139
5	2454.8954
6	2267.216627
7	2098.615564
8	1945.874737
9	1806.959192
10	1685.348147
11	1576.452557
12	1471.359711
13	1382.178396
14	1299.976995
15	1229.452857
16	1160.396004
17	1100.261796
18	1045.408431
19	997.9840139
20	956.1565109
21	918.3945342
22	884.3950652
23	853.9643014
24	827.9723286
25	805.5193615
26	783.3633723
27	763.6033265
28	746.5769632
29	731.5912837
30	718.727806
31	707.6179924
32	697.6941789
33	688.5044406
34	679.5897602
35	672.3142963
36	665.7326361
37	659.2937915
38	653.9450589
39	648.9283063
40	644.6541806
41	640.9172241
42	636.7352845
43	632.9272825
44	629.6681248
45	626.6394069
46	624.2715245
47	622.3621985
48	619.6458126
49	617.511016
50	615.6434955
51	613.6105232
52	612.0295907
53	610.5575137
54	609.051652
55	607.7275247
56	606.5442741
57	605.3919126
58	604.5490514
59	603.4761648
60	602.5062586
61	601.3976562
62	600.2502229
63	599.4005427
64	598.3398322
65	597.672662
66	596.9733941
67	595.7719031
68	595.0532565
69	594.27684
70	593.7725776
71	593.3680885
72	592.8070911
73	592.1488733
74	591.530246
75	590.9068409
76	590.0088377
77	589.2580706
78	588.7415999
79	588.1820581
80	587.8691673
81	587.5010074
82	587.0163672
83	586.6617302
84	586.3309689
85	585.9761089
86	585.5957163
87	585.2990485
88	584.8312399
89	584.619416
90	584.3959267
91	584.0635066
92	583.9412602
93	583.4085045
94	583.1687004
95	582.8014894
96	582.5849663
97	582.3784268
98	582.1649708
99	581.8483624
100	581.4878963
101	581.2770239
102	580.8172893
103	580.6087638
104	580.3780187
105	580.0905918
106	579.9072031
107	579.741744
108	579.5969671
109	579.4700383
110	579.3482925
111	579.1672985
112	578.9991084
113	578.6274633
114	578.418259
115	578.0733376
116	577.7592671
117	577.6487557
118	577.3169368
119	577.1853439
120	577.0372468
121	576.8611557
122	576.738573
123	576.6628522
124	576.5015795
125	576.3918771
126	576.202023
127	576.1163708
128	575.9610594
129	575.707583
130	575.503142
131	575.3491816
132	575.2072539
133	575.0548542
134	574.890354
135	574.7159684
136	574.6062786
137	574.3464213
138	574.2513316
139	574.1269759
140	573.9450681
141	573.7842599
142	573.6217305
143	573.5468419
144	573.3115014
145	573.1598413
146	573.0089587
147	572.9035548
148	572.6833954
149	572.550522
150	572.4020688
151	572.2664246
152	572.0993397
153	571.999952
154	571.9302999
155	571.7836116
156	571.652042
157	571.515708
158	571.3381227
159	571.1929704
160	571.0729244
161	570.9286121
162	570.7617042
163	570.6792537
164	570.5750537
165	570.453668
166	570.311875
167	570.1888183
168	570.1234614
169	570.025363
170	569.9693214
171	569.8640597
172	569.6810591
173	569.5161621
174	569.3946854
175	569.2651724
176	569.225711
177	569.1737046
178	569.0140458
179	568.9197188
180	568.8262898
181	568.7554482
182	568.6502722
183	568.5403484
184	568.3889516
185	568.2926174
186	568.1944775
187	568.1085296
188	567.9979461
189	567.8776137
190	567.7844446
191	567.6530887
192	567.5620216
193	567.4420201
194	567.3743135
195	567.3246108
196	567.2738616
197	567.1697063
198	567.0634475
199	566.9745205
200	566.8444855
201	566.6864048
202	566.6074871
203	566.5107301
204	566.383949
205	566.2867828
206	566.1701396
207	566.0537963
208	565.8859535
209	565.7466179
210	565.6633791
211	565.5435485
212	565.4605409
213	565.3737347
214	565.2813077
215	565.2241149
216	565.1214787
217	565.0167793
218	564.9648884
219	564.8406596
220	564.7245233
221	564.6800795
222	564.6250227
223	564.5850671
224	564.4737383
225	564.4302403
226	564.3708918
227	564.2817953
228	564.1690072
229	564.0887745
230	563.9591316
231	563.9163378
232	563.807341
233	563.7274815
234	563.7050619
235	563.6650786
236	563.5714944
237	563.5034242
238	563.401201
239	563.3096528
240	563.2681017
241	563.1879443
242	563.0512266
243	562.9762098
244	562.8912484
245	562.7634654
246	562.6906378
247	562.6531747
248	562.5975614
249	562.4986306
250	562.3894999
251	562.3711052
252	562.2636813
253	562.1682006
254	562.0627724
255	562.0056983
256	561.9704709
257	561.8896854
258	561.8502144
259	561.8273645
260	561.7373983
261	561.5618034
262	561.5061151
263	561.3867833
264	561.2862128
265	561.2150814
266	561.1326355
267	561.0784247
268	561.0157016
269	560.9059292
270	560.8832405
271	560.7818168
272	560.6813031
273	560.5575501
274	560.4465843
275	560.4105239
276	560.3516586
277	560.310556
278	560.2470662
279	560.1621093
280	560.0681195
281	559.9724139
282	559.9324738
283	559.9080254
284	559.8234235
285	559.7008254
286	559.6565244
287	559.5891762
288	559.523304
289	559.4036322
290	559.3608048
291	559.3428568
292	559.269075
293	559.163164
294	559.0861461
295	558.9824881
296	558.8817397
297	558.8249259
298	558.7318146
299	558.662596
300	558.648317
301	558.5839215
302	558.5454368
303	558.4208986
304	558.2951289
305	558.2657506
306	558.1273833
307	558.0312716
308	557.9513874
309	557.8504415
310	557.7639379
311	557.6745388
312	557.6391344
313	557.5247945
314	557.4782683
315	557.4414074
316	557.3825126
317	557.3247369
318	557.2305601
319	557.176931
320	557.0866078
321	556.952418
322	556.8819488
323	556.8251787
324	556.6983351
325	556.5591287
326	556.4561208
327	556.3703336
328	556.2919468
329	556.264534
330	556.2362457
331	556.1468876
332	556.0294307
333	555.9510586
334	555.8915284
335	555.8360565
336	555.8083971
337	555.6892427
338	555.6589105
339	555.5687837
340	555.4868452
341	555.4074374
342	555.3349152
343	555.2748808
344	555.1805831
345	555.1067291
346	555.0354213
347	554.9837543
348	554.9551546
349	554.9435961
350	554.8693437
351	554.853553
352	554.8055476
353	554.7524052
354	554.6768288
355	554.63116
356	554.5482957
357	554.5354732
358	554.4948436
359	554.3818524
360	554.2687451
361	554.2327563
362	554.1902197
363	554.1284286
364	554.0689421
365	554.0177395
366	554.003816
367	553.9495005
368	553.9018049
369	553.8444604
370	553.8099665
371	553.6802253
372	553.6530955
373	553.5483361
374	553.5226129
375	553.5002554
376	553.4345325
377	553.4101152
378	553.3982197
379	553.342044
380	553.2554293
381	553.2018604
382	553.1171556
383	553.0964768
384	553.07703
385	553.0134817
386	552.9572828
387	552.8638204
388	552.822509
389	552.7946646
390	552.7653952
391	552.6652888
392	552.6190972
393	552.5739264
394	552.5417021
395	552.4902294
396	552.3992552
397	552.3069449
398	552.2652819
399	552.1846722
400	552.114482
401	552.0665672
402	551.9876228
403	551.938401
404	551.8669134
405	551.8206408
406	551.7542047
407	551.674202
408	551.6631635
409	551.6384212
410	551.5669259
411	551.5011584
412	551.4160148
413	551.3725075
414	551.322629
415	551.2840674
416	551.2423358
417	551.1779915
418	551.048952
419	551.0101199
420	550.9757412
421	550.9111045
422	550.847793
423	550.7672818
424	550.7100376
425	550.6586247
426	550.6469283
427	550.6040629
428	550.5410928
429	550.5307111
430	550.4881283
431	550.4646306
432	550.4138357
433	550.3434818
434	550.32687
435	550.3112729
436	550.2384724
437	550.215169
438	550.0957065
439	550.0417175
440	550.0230324
441	549.960201
442	549.8604457
443	549.7818263
444	549.7216638
445	549.6962977
446	549.6818263
447	549.6727937
448	549.6236701
449	549.5496859
450	549.4654556
451	549.4188778
452	549.3758313
453	549.3368827
454	549.2761817
455	549.2130696
456	549.144843
457	549.083827
458	549.0260303
459	548.9387552
460	548.8666594
461	548.8110902
462	548.772413
463	548.7221621
464	548.6202195
465	548.5708552
466	548.4609326
467	548.3915178
468	548.3842537
469	548.336615
470	548.2737206
471	548.1708704
472	548.1304099
473	548.0586023
474	548.0259612
475	547.9159626
476	547.8716681
477	547.8152353
478	547.7669546
479	547.7415348
480	547.6451794
481	547.6256746
482	547.5800153
483	547.5629249
484	547.5231604
485	547.4409761
486	547.3971897
487	547.3586584
488	547.3351082
489	547.3243061
490	547.293854
491	547.2568792
492	547.2369856
493	547.1846578
494	547.1394026
495	547.1313728
496	547.0170722
497	547.000898
498	546.9888958
499	546.9554421
500	546.8959865
501	546.8280043
502	546.7435021
503	546.6924105
